size,duration,throughput
1024,0.0000008227992218191701,1244532047.2423205
4096,0.0000032029074840669193,1278838062.0969634
16384,0.00001408582766003693,1163154938.1001759
65536,0.00018392063319355663,356327611.87283665
262144,0.0010538515643835594,248748503.92553973
1048576,0.002529867424380379,414478636.2695744
4194304,0.008384566695142374,500240996.6432712
16777216,0.03553995178723406,472066369.1509669
67108864,0.13737511372972974,488508159.72410566
268435456,0.5724306064444444,468939733.441825
1073741824,2.4610800276666667,436288869.89831346
4294967296,111.188879666,38627669.501677155
