size,duration,throughput
2048,0.0000015684922652765411,1305712527.4627457
8192,0.0000061099039999770054,1340773930.3319383
32768,0.0000305799749367017,1071550910.9417961
131072,0.00014274150914956108,918247262.3479548
524288,0.0009687193800852374,541217622.7483629
2097152,0.004293140062660952,488489070.7945256
8388608,0.02288966325114157,366480184.001031
33554432,0.08733648706896552,384197179.5076168
134217728,0.38848607384615386,345489161.7380143
536870912,1.53210396875,350414151.3568545
2147483648,20.369228625,105427833.69637787
