size,duration,throughput
1,0.000000024641785548116613,40581474.83052139
2,0.000000025629134737088653,78036188.91221258
3,0.000000026847469329555436,111742375.53546268
4,0.00000002611264504204062,153182490.4585542
5,0.00000002908480774465626,171911055.55506545
6,0.00000004099969316047422,146342558.62637293
8,0.000000048130438167208766,166214983.79481602
10,0.00000005552361562211163,180103544.9142764
12,0.0000000542860733076037,221051169.6435261
15,0.00000005856160328412785,256140528.24379385
16,0.00000004754554589537673,336519429.9211069
20,0.00000007368910951613175,271410526.34950995
24,0.00000007066145655737177,339647683.0408076
30,0.00000011031501994485078,271948461.91386944
32,0.00000008853082984524272,361456004.1506213
40,0.00000015089809675569464,265079552.75778165
48,0.00000012773681986564465,375772624.13834214
60,0.00000017223604936272696,348359128.1964483
64,0.00000009451151222971799,677166183.14648
80,0.00000018916110135059507,422919931.3643578
96,0.00000022147956582210514,433448565.0794
120,0.00000028033639106300683,428057162.1292987
128,0.00000021413628406852484,597750169.0420632
160,0.0000004085158879901944,391661633.4976927
192,0.00000044171953560070906,434664950.3262128
240,0.0000007458779625596611,321768455.49422294
256,0.0000002471985455579213,1035604798.6537058
320,0.0000006628984987405533,482728503.09356683
384,0.0000006320072029828103,607588011.9525224
480,0.0000009829284802437595,488336648.7467769
512,0.0000006047376410690535,846648141.655095
640,0.0000012458648709516763,513699370.55141824
768,0.0000012233937815023282,627761896.1385398
960,0.0000020316722246141328,472517165.10635906
1024,0.0000006061681961449862,1689300109.2968507
1280,0.0000019615949399764595,652530231.351107
1536,0.0000017825657754010626,861679283.4219049
1920,0.0000029465824119033527,651602341.8329477
2048,0.0000017792312657417326,1151058909.2229233
2560,0.000004050578629959513,632008469.3740628
3072,0.000003742141409872844,820920340.3952564
3840,0.000007163860736389681,536023820.29765934
4096,0.0000019264208093220376,2126222879.3310738
5120,0.0000062400583902743055,820505142.7050718
6144,0.000006222176575870639,987435815.2782413
7680,0.000009612315502879082,798975023.0004088
8192,0.000006318657540404039,1296477922.3461719
10240,0.000013979685622905033,732491436.2324615
12288,0.000013658252299727517,899675868.5036991
15360,0.000023420914920560767,655824080.8310932
16384,0.000006365069279898219,2574048966.245029
20480,0.000023870654366666667,857957209.1077056
24576,0.000026032536906735733,944049367.4529713
30720,0.00003901586305426356,787372048.0634861
32768,0.000027678233878453037,1183890567.0028768
40960,0.00006009414883333335,681597140.407122
49152,0.00006028352414457831,815347156.5815974
61440,0.00008296200683606559,740579963.5658108
65536,0.00011764129648837207,557083285.855131
81920,0.00019516980607692304,419737056.9078321
98304,0.00020712395672000002,474614339.9186411
122880,0.00017723570537931036,693314023.4752293
131072,0.000300816407,435720914.65077573
163840,0.00027856991450000003,588146786.3967772
196608,0.000309864375,634496947.2531329
245760,0.00035723787207142863,687944977.8797837
262144,0.0007323261904285714,357960705.7977652
327680,0.0011104286526759932,295093249.9898417
393216,0.0013291980523657627,295829503.5868715
491520,0.000882318932844526,557077471.312305
524288,0.001785209903248839,293684232.3392152
655360,0.0014771883769571612,443653639.7273627
786432,0.0020765828264119562,378714487.0878298
983040,0.0018778745245963215,523485455.0313045
1048576,0.003429857792866943,305719963.71998805
1310720,0.0055501332785793615,236160094.5798365
1572864,0.0066768030707610075,235571422.92961597
1966080,0.005668973395691612,346814116.55489683
2097152,0.00843531190387858,248615821.66697636
2621440,0.008676883526863098,302117689.1316085
3145728,0.012467695388059698,252310302.91393396
3932160,0.008928614853571432,440399778.0716392
4194304,0.01589162828571429,263931670.4739722
5242880,0.026658193707446806,196670489.28883103
6291456,0.03094218283333334,203329417.12251636
7864320,0.03325667441059603,236473433.96110347
8388608,0.03913524246875,214349202.17240033
10485760,0.04934414985294116,212502597.19238016
12582912,0.05972282582142855,210688490.15321127
15728640,0.05169979377319587,304230227.0875716
16777216,0.06327950413750001,265128752.64548206
20971520,0.11416478018181818,183695181.35628936
25165824,0.1322316535,190316186.28288576
31457280,0.14833401105882352,212070581.6249064
33554432,0.15934979431250001,210570915.04113638
41943040,0.21967576799999994,190931573.29942742
50331648,0.28398346766666666,177234429.92490727
62914560,0.2783280346666667,226044638.56955048
67108864,0.26115204160000005,256972388.91507095
83886080,0.4935812499090909,169953943.78423077
100663296,0.5508634248,182737301.96654
125829120,0.7473995061428571,168355904.66118017
134217728,0.6572802136250001,204201686.30935788
167772160,1.0714254418,156587806.72422895
201326592,1.1795090670000001,170686769.2946696
251658240,1.25308764575,200830517.2056637
268435456,1.0821796504,248050733.44410023
335544320,2.066832333333333,162347140.88241637
402653184,2.329174708,172873757.65201724
503316480,3.1092324375000002,161878048.72018352
536870912,2.7689753130000003,193887937.34615716
671088640,4.473326896,150020031.0869479
805306368,4.925551209,163495684.81361818
1006632960,6.514689834,154517403.84421808
1073741824,5.405250292,198647937.83725122
1342177280,9.503679291,141227122.55989575
1610612736,10.741489458,149943147.29792476
2013265920,12.922036542,155800977.14910176
2147483648,13.254639042,162017512.60032538
2684354560,18.741510792,143230425.2198197
3221225472,20.613272084,156269487.87525645
4026531840,26.813011416,150170817.3516559
