size,duration,throughput
1024,0.000301425496925489,3397191.0486826804
2048,0.0003699493402633907,5535893.099692778
4096,0.00036537169828279245,11210501.577573627
8192,0.000475697448577682,17221029.930881027
16384,0.0005884849564552181,27840983.563437566
32768,0.000790232075051352,41466299.62833465
65536,0.0011201467065412197,58506622.0498577
131072,0.001912051462715104,68550456.17542028
262144,0.005394642519956856,48593395.953527704
524288,0.00643086318613607,81526847.14709567
1048576,0.010799681697624191,97093231.94503732
2097152,0.022230234504424778,94337826.24211976
4194304,0.03752664306716418,111768697.04260908
8388608,0.07796875713846156,107589351.27185637
16777216,0.13719714421621623,122285460.79326475
33554432,0.302952701,110757989.24796516
67108864,0.5558838193333333,120724622.06308341
134217728,1.28478441675,104467120.12550569
268435456,2.4329508890000002,110333281.78290243
536870912,5.258900375,102088055.2429176
1073741824,10.302745084,104219003.30888551
2147483648,20.754706958,103469716.64527608
4294967296,49.030268709,87598281.81834164
