size,duration,throughput
1024,0.00000029294913596827033,3495487353.5141973
4096,0.0000011771546677317587,3479576738.962026
16384,0.000004782928809970866,3425516174.492214
65536,0.000030236158334593046,2167471120.992926
262144,0.00043870895288647193,597535104.4815285
1048576,0.0020090094399357154,521936820.78146553
4194304,0.009174641273394494,457162724.4067892
16777216,0.03457929086206892,485181031.2398118
67108864,0.1411506644722222,475441360.83898294
268435456,0.5894752637777779,455380356.8951717
1073741824,2.4715499309999998,434440676.4890076
4294967296,15.109712667,284252082.7930976
