size,duration,throughput
1,0.000000017412589978780965,57429710.41175397
2,0.000000017804012371169416,112334228.84150887
3,0.0000002593566744041434,11567082.308146965
4,0.00000001775631238054366,225271999.85414588
5,0.0000003037946731599038,16458484.765360668
6,0.000000953279958543565,6294058.682579342
8,0.000000018932084025527125,422563093.9104844
10,0.0000010652779635885913,9387221.309181219
12,0.0000015605124297719655,7689781.748007951
15,0.0000028567170965012087,5250782.451777039
16,0.00000003392974800109334,471562594.5552092
20,0.0000017634961224562692,11341108.01000412
24,0.000004370481301748803,5491386.038054126
30,0.000007262105590942376,4131033.2966539823
32,0.00000008071416255222788,396460781.9512926
40,0.000003122197030593312,12811491.269786645
48,0.000008323782176764603,5766609.334635097
60,0.000016780465613534,3575586.123880139
64,0.00000020142487379403095,317736329.15587103
80,0.000009292696599060312,8608911.218309838
96,0.000013246128076717448,7247400.8588772435
120,0.00002893044965255182,4147878.8418836542
128,0.0000006111049128380704,209456669.89575854
160,0.00001797313775329475,8902174.02193279
192,0.000026134465719566733,7346620.438322205
240,0.00004686710193560848,5120862.824625687
256,0.0000021364130646566004,119827014.83860685
320,0.00003035072547818198,10543405.304431232
384,0.00007186675364360116,5343221.733714564
480,0.0001309488125605617,3665554.4301175526
512,0.000004927690019012963,103902639.57848464
640,0.00006152021542909964,10403084.507036267
768,0.00014470686681329652,5307280.966776012
960,0.00024003028611204315,3999495.2951557287
1024,0.000009528678155699532,107465063.177467
1280,0.00011079107954797502,11553276.718869152
1536,0.0002817472233616954,5451695.252478662
1920,0.0004956446440325111,3873743.0599049516
2048,0.000022363756008021396,91576745.84114702
2560,0.00022529104699468272,11363079.155384371
3072,0.0005608676890633791,5477227.624094527
3840,0.0010887784067058533,3526888.4617376714
4096,0.000044440746413650493,92167668.87474838
5120,0.0006377172780257617,8028636.162799981
6144,0.0009147854275521392,6716329.113856392
7680,0.0019944228711607525,3850738.0310627134
8192,0.00010939175864181474,74886811.41715027
10240,0.0012844071438479327,7972549.863995746
12288,0.0018302990633235739,6713656.935215092
15360,0.0038666972156105065,3972382.408942986
16384,0.00022475102503709068,72898443.94389813
20480,0.002522074460413514,8120299.507986033
24576,0.0036104208288808715,6806962.723959763
30720,0.0078120258112324426,3932398.681508394
32768,0.0006934505009013993,47253553.00400776
40960,0.001642119523591089,24943373.129396897
49152,0.0020349901773799865,24153433.538083375
61440,0.0026803269314040795,22922576.8245424
65536,0.0008497365576890397,77125080.01095422
81920,0.0023446972405063286,34938412.765952535
98304,0.004393676135325132,22373974.99775561
122880,0.006734616865410496,18246026.82761673
131072,0.0015627616528124972,83872034.97354196
163840,0.004108864963023825,39874758.960057355
196608,0.007364344683357878,26697283.798285466
245760,0.012697733113924043,19354635.807434417
262144,0.0027926228380792824,93870176.9624924
327680,0.009176732972477055,35707696.95302031
393216,0.01469065272140762,26766407.69181038
491520,0.023688900349056588,20748958.067172367
524288,0.007147300181428569,73354691.51866625
655360,0.016059390099358965,40808523.60801421
786432,0.0285684699090909,27527970.608945563
983040,0.04386331030701754,22411441.20494542
1048576,0.009899338598425197,105923844.26236407
1310720,0.02817549111235956,46519863.478973575
1572864,0.05412887948387097,29057760.201163474
1966080,0.08646271562068969,22739049.84230609
2097152,0.03806513323484849,55093778.00049482
2621440,0.07335776198550724,35735005.11803916
3145728,0.126082437475,24949771.459040392
3932160,0.22147920465217388,17754082.177490808
4194304,0.03754122048507461,111725296.77524851
5242880,0.14772037014705883,35491922.9811068
6291456,0.27114768442105264,23203060.03509988
7864320,0.41739468269230773,18841447.49825998
8388608,0.22667248734782613,37007614.3697483
10485760,0.5166792792,20294523.938013576
12582912,0.8734702015,14405656.85972059
15728640,1.2603533918,12479547.48432645
16777216,0.13067619556410254,128387698.52134258
20971520,1.2862510105,16304375.917922748
25165824,1.4671706145,17152622.708829477
31457280,1.9858646803333333,15840595.943687262
33554432,1.116243975,30060123.728775334
41943040,1.9888445276666669,21089149.713078886
50331648,2.8957263125,17381355.338290453
62914560,4.4945757085,13997886.359110152
67108864,0.5664798887777778,118466454.55462211
83886080,5.015985792,16723747.530104645
100663296,5.91971075,17004765.984554227
125829120,9.147644417,13755357.58322207
134217728,5.033921792,26662656.581852593
167772160,7.645219666,21944714.125889707
201326592,9.923339959,20288188.536502402
251658240,16.236030875,15499985.306599757
268435456,2.1445066526666667,125173524.48695084
335544320,15.866349709,21148173.723264553
402653184,24.125954458,16689627.1275387
503316480,34.36776375,14645016.87282461
536870912,21.443180959,25036906.2792742
671088640,35.857468541,18715449.453233615
805306368,46.742574458,17228541.16055586
1006632960,75.577714,13319177.132031275
1073741824,10.267641708,104575310.91715029
1342177280,71.207332833,18848863.26451463
1610612736,91.335443,17634038.69404783
2013265920,143.4133255,14038206.791320795
2147483648,101.840111542,21086815.553165942
2684354560,205.621274084,13054848.395226814
