size,duration,throughput
1024,0.0000002634550994948016,3886810321.620687
4096,0.0000010173008248041462,4026340980.1015096
16384,0.000004127784264733115,3969199684.1940866
65536,0.00001889013350385193,3469324342.606494
262144,0.00008882311955517763,2951303684.365128
1048576,0.0005450359095269275,1923865898.872843
4194304,0.001422779336273117,2947965220.655173
16777216,0.004743624691943133,3536792450.8225675
67108864,0.016091564575562694,4170437478.895884
268435456,0.06061280467469881,4428692211.829808
1073741824,0.23577945468181818,4554009277.224782
4294967296,0.9623374863333333,4463057250.69959
