size,duration,throughput
4,0.000000017205847819379124,232479099.08250836
8,0.00000001793834646209116,445971986.15303147
16,0.000000018938266069851276,844850312.1133755
32,0.000000021012992058745426,1522867372.268476
64,0.000000025897402967947174,2471290271.044237
128,0.00000004351482054588665,2941526551.052261
256,0.00000007865435808238811,3254746542.230344
512,0.00000016351945452042636,3131125904.875389
1024,0.00000029397653369929204,3483271222.7549677
2048,0.000000744887913257667,2749406942.3725076
4096,0.0000011832955220741294,3461519057.23463
8192,0.0000029106221366263266,2814518551.5201454
16384,0.0000047881034814660885,3421814098.926558
32768,0.000012987434816140682,2523054049.077974
65536,0.0000288037821060065,2275256761.726915
131072,0.00021905365272058196,598355692.1883031
262144,0.00043503156003132004,602586166.3487748
524288,0.001290599505290323,406236015.0076614
1048576,0.0019779067804588666,530144297.17296106
2097152,0.005493061743139405,381781982.0829889
4194304,0.00915974476923077,457906208.7067558
8388608,0.021244196313559303,394865867.1849071
16777216,0.03440218580136986,487678779.9725199
33554432,0.08306497055737704,403954058.7909113
67108864,0.1413240184722222,474858164.41874325
134217728,0.33274505462500004,403365057.2245525
268435456,0.5876132962222224,456823318.5426145
536870912,1.34885505225,398019721.3217652
1073741824,2.5011164790000002,429305005.5906652
2147483648,5.589773083,384180827.39907175
