size,duration,throughput
1,0.000000017527271441357015,57053946.09456547
2,0.00000003386442258399927,59059031.49652366
3,0.000000032925250322717084,91115480.386496
4,0.000000017230855013314025,232141701.43671104
5,0.00000003315676607564138,150798783.83173352
6,0.00000003327378141520215,180322155.90797612
8,0.00000003416815777237535,234136123.26702404
10,0.00000003436695591042624,290977182.4442037
12,0.00000003489250871264244,343913362.57378644
15,0.000000036727764968860644,408410367.8162185
16,0.000000018579404438025877,861168615.6771154
20,0.00000003797101846638753,526717502.1313762
24,0.00000003948879620121852,607767324.1216562
30,0.00000004654297118746582,644565639.7647235
32,0.00000006963924894167602,459510986.7827625
40,0.00000007527375348550206,531393721.554009
48,0.00000007873008032981428,609678026.4788183
60,0.00000008254623833709907,726865344.9109863
64,0.000000023907693275426355,2676962568.6047564
80,0.00000009571732616411163,835794345.7680423
96,0.0000001072493045439051,895110699.395725
120,0.00000012611048387756186,951546582.8876337
128,0.00000010745905493277585,1191151365.3276975
160,0.00000012769660851894867,1252969846.6992402
192,0.00000015150073525830168,1267320582.1255517
240,0.00000017177008378260671,1397216527.5517097
256,0.00000006934042210967689,3691930222.1016273
320,0.00000022061298677276835,1450503910.4048774
384,0.0000002618829375532561,1466304004.3298366
480,0.00000032282750235535354,1486862167.869571
512,0.0000003484660945779034,1469296462.314892
640,0.00000042910357530897607,1491481397.0943215
768,0.0000004876177088664077,1575004324.1567512
960,0.0000005945898628931343,1614558302.9768891
1024,0.0000002621078862893374,3906788210.369298
1280,0.0000007794490874225441,1642185513.6589625
1536,0.0000009325920147754335,1647022466.0564632
1920,0.0000011519216488003774,1666780029.7003767
2048,0.000001229492114754183,1665728454.3947356
2560,0.0000015429490873262582,1659160383.8569725
3072,0.0000019070929295120655,1610828687.1924899
3840,0.0000025861269528813654,1484845898.8920155
4096,0.0000010143233265480188,4038160114.033513
5120,0.0000034836056504356497,1469741559.1112351
6144,0.000004147581693255889,1481345143.8437865
7680,0.00000500840033230562,1533423746.1933296
8192,0.000005640656319470568,1452313265.696163
10240,0.000008346480026033323,1226864494.7403743
12288,0.000010339181425460001,1188488671.8150702
15360,0.000012532686540143432,1225595162.7610252
16384,0.0000039922826845771625,4103917807.0465946
20480,0.000013887670409833778,1474689375.2243884
24576,0.000016540585129383654,1485799916.2521627
30720,0.00002099659718898342,1463094220.6253445
32768,0.000032424922666861425,1010580667.73708
40960,0.00003859337774399009,1061321977.8716687
49152,0.000047004624415968535,1045684347.2469478
61440,0.00005773847165060934,1064108526.6646749
65536,0.000018535991251034313,3535608056.3721175
81920,0.000055056159133206744,1487935251.7453494
98304,0.00008697606310882417,1130242005.5159585
122880,0.0001074811084694746,1143270680.3065658
131072,0.00015061211964576213,870261970.3399683
163840,0.00018683376212540203,876929298.7315177
196608,0.00022819347266337964,861584679.4620061
245760,0.00039915378079348615,615702548.3046874
262144,0.00008879473658320214,2952247059.760876
327680,0.00044075214623182026,743456391.0839171
393216,0.0005266286908899437,746666497.2914956
491520,0.0006594769339224489,745317955.3627878
524288,0.0008447579690826155,620636938.8493165
655360,0.0010514425079899102,623296086.1101965
786432,0.0013099078153483484,600372019.1491959
983040,0.0020939231331658288,469472820.86412096
1048576,0.0005501784219386065,1905883542.842778
1310720,0.0012185565331384002,1075633312.329164
1572864,0.0017328877054747023,907654890.1760106
1966080,0.0022625645524886884,868960842.6143807
2097152,0.006479009579015543,323684040.6583645
2621440,0.01024859596516393,255785281.11660892
3145728,0.012724799608142504,247212380.30240354
3932160,0.015569413543478256,252556718.91682202
4194304,0.001336105525247128,3139201148.9692893
5242880,0.012671385536708853,413757436.77054405
6291456,0.023923902928229674,262977826.77324867
7864320,0.034326549123287683,229103134.47921622
8388608,0.049702888227722765,168775061.15069363
10485760,0.19891660580769227,52714352.11466145
12582912,0.21920979695833331,57401230.12107766
15728640,0.3010954117058824,52238059.39415687
16777216,0.004429326137289634,3787758110.371663
20971520,0.4110262628461538,51022335.78648378
25165824,0.4935971248181819,50984543.3343436
31457280,0.5734452544444445,54856640.20443574
33554432,0.5542323379,60542176.45823152
41943040,0.7157684275,58598617.07856624
50331648,0.7707036130000001,65306101.01084344
62914560,1.0866542752000001,57897494.57197
67108864,0.015348480478527602,4372345789.792335
83886080,1.4019242085,59836387.367726944
100663296,1.4481294685000001,69512635.56860627
125829120,1.7562825136666664,71645147.64615013
134217728,1.5763021560000001,85147208.28688633
167772160,2.204589375,76101319.32165372
201326592,2.624259625,76717482.55472246
251658240,3.6737927289999996,68500935.8349133
268435456,0.05768493917241383,4653475583.941875
335544320,4.500438041500001,74558146.76390095
402653184,5.1636445,77978486.7064338
503316480,5.918523792,85040881.42389949
536870912,5.960109834,90077352.08793806
671088640,8.042714584,83440563.8781524
805306368,12.584363375,63992618.77639479
1006632960,13.674765416,73612448.13912499
1073741824,0.23043116118181822,4659707560.787667
1342177280,19.829484459,67685939.22727157
1610612736,20.222568834,79644319.6322365
2013265920,27.592820959,72963395.91343339
2147483648,25.213100875,85173325.51226705
2684354560,44.183410042,60754807.233038336
3221225472,82.224927125,39175777.767525755
4026531840,369.155749542,10907406.548579
