size,duration,throughput
1,0.0000002672614149874552,3741654.9637250793
2,0.0000002479498934344911,8066145.834131623
3,0.00000023214064608385547,12923200.01089477
4,0.00000024915335145505846,16054369.63476491
5,0.00000023720440457327083,21078866.596069187
6,0.00000023658580372859286,25360777.804246854
8,0.0000002687620727800449,29766104.708335117
10,0.0000002413639277370139,41431211.754624054
12,0.000000259173196029649,46301084.3089932
15,0.00000024462690934441794,61317865.807154626
16,0.0000002727510227471078,58661558.218372114
20,0.0000002563498817226322,78018370.30547096
24,0.00000027441792437297876,87457843.92487453
30,0.00000026866586432754707,111662864.48443319
32,0.0000003007711559191585,106393180.89597988
40,0.00000029532637192132743,135443373.17310652
48,0.00000032447758027254377,147930097.2340911
60,0.00000034268594112808827,175087427.87196326
64,0.00000038266066824825816,167250008.45521656
80,0.00000039402184058313706,203034430.48132333
96,0.0000004464066539594692,215050557.93526807
120,0.0000005076617167512682,236377879.28530112
128,0.0000005761685659638205,222157208.0835065
160,0.0000006537748294979075,244732578.83433414
192,0.0000007365201137133606,260685345.0776535
240,0.0000009071429675254033,264566896.940949
256,0.0000009913932896510696,258222445.7965634
320,0.0000011926999890293358,268298820.27619374
384,0.000001418282117413494,270750082.28990203
480,0.0000017371846141021223,276309147.63085896
512,0.0000019577912306186376,261519201.8396233
640,0.000002434301084225904,262909138.12886745
768,0.0000028321265990940003,271174318.3534535
960,0.0000034787535883171074,275960908.3046358
1024,0.000003722245418898806,275102763.1872112
1280,0.0000047119105988700615,271652013.1572424
1536,0.000005746439256027569,267295960.43129754
1920,0.000007194925936690652,266854727.4696639
2048,0.000007520787968421052,272311891.8654964
2560,0.000009529367062857145,268643235.4965291
3072,0.000011856296713270139,259102827.3239543
3840,0.000014533973455072457,264208546.40131557
4096,0.000014926242611940302,274416013.8951105
5120,0.00001891313162641508,270711381.97172683
6144,0.00002280229049545454,269446615.5154351
7680,0.00002885669900000001,266142707.45243585
8192,0.000030387996739393932,269580126.3325851
10240,0.00003808193340151512,268893910.71705914
12288,0.00004575531330909091,268558974.058179
15360,0.00005770157956321841,266197218.79834217
16384,0.000060906841385542153,269000979.64839095
20480,0.00007662437756060606,267277864.4603193
24576,0.00009229582039999998,266274246.15210426
30720,0.00011594718004545453,264948228.90868846
32768,0.00012318917380487807,265997400.4850615
40960,0.00015430413633333334,265449786.20350614
49152,0.0001854018102592593,265110680.0482023
61440,0.0002325167197727273,264239062.29218408
65536,0.00024727968842857146,265027833.12480012
81920,0.00030999136523529407,264265425.38634878
98304,0.00037279653278571426,263693439.5967297
122880,0.0004672764962727273,262970641.5369985
131072,0.0004978612235454544,263270152.00458407
163840,0.0006234843008888889,262781275.7537225
196608,0.0007488094701428572,262560781.93360898
245760,0.0009387287291666667,261800872.14137718
262144,0.0009987601231782794,262469429.76237258
327680,0.0012509341380690325,261948243.33902466
393216,0.00150418072,261415396.94778162
491520,0.001884219655614174,260861305.91806495
524288,0.0020082906759036107,261061810.5688818
655360,0.002513305022110549,260756252.91579658
786432,0.003015289213984329,260814782.32757252
983040,0.003815361327993893,257653185.502323
1048576,0.004059499286525976,258301806.6982706
1310720,0.005169572337809915,253545151.19432208
1572864,0.00623815565461347,252136061.85616383
1966080,0.0075828097333333335,259281199.0728573
2097152,0.008066352430645147,259987648.44846603
2621440,0.010070910794768613,260298204.74248672
3145728,0.012125242566585951,259436294.38546798
3932160,0.015208796574468072,258545111.09716302
4194304,0.016238741652597394,258289964.19369227
5242880,0.020261566599190275,258759853.25880596
6291456,0.024337673281553396,258506880.555775
7864320,0.030405696151515133,258646273.40913936
8388608,0.0324755941096774,258304989.63836595
10485760,0.04069223062601625,257684571.1991029
12582912,0.048814363621359214,257770686.05467224
15728640,0.06073302510843375,258980019.05747038
16777216,0.06470710049999999,259279366.1029519
20971520,0.08098054037096773,258969869.84688586
25165824,0.09715943425000002,259015752.76000533
31457280,0.12119844138095241,259551852.66057256
33554432,0.1292107359230769,259687647.16250804
41943040,0.16154758461290322,259632727.4128115
50331648,0.19367115534615387,259882004.1634018
62914560,0.24220603176190475,259756371.6408465
67108864,0.25813086035,259980011.3361378
83886080,0.32260172137500004,260029858.6208993
100663296,0.38757756723076925,259724257.82853326
125829120,0.4839977044545455,259978753.7046412
134217728,0.5160049669,260109372.21464953
167772160,0.6450123751249999,260106885.4957809
201326592,0.7740160295714286,260106489.15304017
251658240,0.967452257,260124712.2833473
268435456,1.0369378831999998,258873226.97826964
335544320,1.30643901075,256838870.57794675
